n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
334,1573364,0.815217764,283.5709325,1,0.981890874
335,1635768,0.814786363,284.3857189,1,0.981371273
336,1618222,0.814755364,285.2004743,1,0.981333936
337,1553481,0.814474424,286.0149487,1,0.980995557
338,1671740,0.814179242,286.8291279,1,0.980640024
339,1683409,0.81399829,287.6431262,0,0.980422076
340,1587208,0.813892318,288.4570185,1,0.980294438
341,1555248,0.813744873,289.2707634,1,0.980116848
342,1557651,0.813579272,290.0843427,1,0.979917389
343,1663737,0.813555248,290.8978979,1,0.979888454
344,1538638,0.813206764,291.7111047,1,0.979468721
345,1605568,0.812862649,292.5239673,1,0.979054251
346,1676577,0.812813073,293.3367804,1,0.978994539
347,1676630,0.811870732,294.1486511,1,0.977859534
348,1528233,0.81169341,294.9603446,1,0.977645959
349,1453364,0.811679168,295.7720237,1,0.977628804
350,1486613,0.811679168,296.5837029,1,0.977628804
351,1695621,0.811679168,297.3953821,0,0.977628804
352,1552594,0.811496291,298.2068784,1,0.977408538
353,1592599,0.811402171,299.0182805,0,0.977295175
354,1687973,0.811402171,299.8296827,0,0.977295175
355,1694109,0.811241419,300.6409241,1,0.977101556
356,1685068,0.810186484,301.4511106,1,0.975830938
357,1675196,0.809252178,302.2603628,1,0.974705611
358,1696310,0.809239511,303.0696023,1,0.974690354
359,1586393,0.809060177,303.8786625,0,0.974474355
360,1678836,0.80895977,304.6876222,1,0.97435342
361,1522542,0.80895977,305.496582,1,0.97435342
362,1222550,0.808724138,306.3053061,1,0.974069612
363,1466373,0.808125381,307.1134315,1,0.973348438
364,1687016,0.808015342,307.9214469,0,0.973215902
365,1617884,0.807914096,308.729361,1,0.973093955
366,1632688,0.807902906,309.5372639,1,0.973080477
367,1673177,0.807471218,310.3447351,1,0.972560529
368,1671294,0.807328791,311.1520639,1,0.972388983
369,1535759,0.807048416,311.9591123,0,0.972051285
370,1638611,0.807048416,312.7661607,1,0.972051285
371,1695761,0.806508845,313.5726696,1,0.971401397
372,1696426,0.806377918,314.3790475,1,0.971243702
373,1680721,0.806364623,315.1854121,1,0.971227689
374,1571430,0.805917817,315.9913299,1,0.970689532
375,1666581,0.805587813,316.7969177,1,0.970292058
376,1666546,0.805295347,317.6022131,1,0.969939797
377,1579949,0.804919063,318.4071321,1,0.96948658
378,1622272,0.804563213,319.2116953,0,0.969057977
379,1685262,0.804466786,320.0161621,1,0.968941835
380,1539413,0.804466786,320.8206289,0,0.968941835
381,1532914,0.804466786,321.6250957,1,0.968941835
382,1613058,0.80409475,322.4291905,1,0.968493735
383,1670152,0.803751974,323.2329424,1,0.968080877
384,1551264,0.803500093,324.0364425,1,0.9677775
385,1467430,0.803049815,324.8394923,1,0.967235161
386,1474968,0.802817611,325.6423099,1,0.966955482
387,1677781,0.802608739,326.4449187,1,0.966703905
388,1680617,0.802082399,327.2470011,1,0.966069955
389,1660318,0.801956492,328.0489576,1,0.965918305
390,1684270,0.801785901,328.8507435,1,0.965712837
391,1543670,0.801635125,329.6523786,1,0.965531234
392,1655403,0.801139739,330.4535183,1,0.964934565
393,1658331,0.800844497,331.2543628,1,0.96457896
394,1504656,0.800703096,332.0550659,1,0.96440865
395,1677805,0.800192919,332.8552589,1,0.963794166
396,1536489,0.800094871,333.6553537,1,0.963676072
397,1549107,0.799992393,334.4553461,1,0.963552642
398,1688682,0.799791478,335.2551376,0,0.963310649
399,1689063,0.79933975,336.0544773,1,0.962766564
400,1646342,0.799147447,336.8536248,1,0.962534945
401,1588198,0.79860712,337.6522319,1,0.961884147
402,1649376,0.798159761,338.4503917,1,0.961345324
403,1665996,0.797259544,339.2476512,1,0.960261056
404,1653562,0.797250294,340.0449015,1,0.960249915
405,1691545,0.797147969,340.8420495,1,0.960126669
406,1541629,0.796899866,341.6389493,0,0.959827842
407,1694118,0.796899866,342.4358492,1,0.959827842
408,1679475,0.796516129,343.2323653,0,0.959365648
409,1692959,0.795996286,344.0283616,1,0.958739522
410,1354291,0.795146795,344.8235084,1,0.95771635
411,1689363,0.795146795,345.6186552,1,0.95771635
412,1551045,0.794680337,346.4133356,0,0.957154524
413,1656186,0.794431567,347.2077671,0,0.956854893
414,1669985,0.794227252,348.0019944,0,0.956608805
415,1658731,0.793632577,348.7956269,1,0.955892548
416,1671728,0.792919472,349.5885464,1,0.955033646
417,1695841,0.792754243,350.3813007,1,0.954834636
418,1675291,0.792754243,351.1740549,0,0.954834636
419,1654893,0.792713055,351.966768,1,0.954785027
420,1570937,0.792658679,352.7594266,0,0.954719533
421,1691349,0.792446877,353.5518735,1,0.954464429
422,1676421,0.792446877,354.3443204,0,0.954464429
423,1663060,0.791679497,355.1359999,0,0.953540156
424,1610909,0.790504356,355.9265042,1,0.952124754
