PersonId,Matriculated,RegionPrefLevel,RequestedRegionalReassignment,Ethnicity,Senior2007,CumulativeGPA,SpecialEducationPrefLevel,BilingualPreferred,Gender,ReceivedPellGrants,PrimarySubject,GradeLevel,IsMathMajorMinor,IsScienceMajorMinor,IsEngineeringMajorMinor,IsMathSciorEngMajorMinor,Contacted
1581583,1,1,0,1,0,2.8,1,0,1,2,12,3,0,0,0,0,0
1472922,1,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,1
1594710,1,1,0,1,0,3.2,1,0,1,0,5,2,0,0,0,0,1
1516604,1,1,0,1,1,3.2,1,0,1,0,1,1,0,0,0,0,0
1596657,1,1,0,1,0,3.5,2,0,0,1,10,1,0,0,0,0,0
1583731,1,1,0,1,0,3.8,1,0,1,0,12,2,0,0,0,0,1
1329474,1,1,0,3,1,3.6,1,0,0,0,1,1,0,0,0,0,1
1427166,1,1,0,1,1,3.8,1,0,1,0,1,1,0,0,0,0,1
1582819,1,1,0,1,1,3.7,1,0,0,0,12,2,0,0,0,0,0
1599907,1,1,0,1,1,3.7,1,1,0,0,12,2,0,0,0,0,0
1581169,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,0
1410489,1,1,0,1,1,3.3,1,0,0,0,8,3,0,1,0,1,0
1404485,1,1,0,5,1,3.4,1,0,0,0,16,2,0,0,0,0,0
1585532,1,1,0,1,0,3.3,3,0,1,1,9,2,0,0,0,0,1
1452166,1,1,0,6,1,3.3,1,0,0,0,1,1,0,0,0,0,1
1602974,1,1,0,1,1,3.6,2,0,0,0,10,1,0,0,0,0,0
1530086,1,1,0,1,1,3.1,1,1,0,0,16,1,0,0,0,0,0
1593853,1,1,0,1,1,3.1,1,0,0,0,13,3,0,0,0,0,1
1431120,1,1,0,3,1,3.3,1,0,0,0,3,2,0,0,0,0,0
1342829,1,1,0,1,1,3.4,1,1,0,0,12,2,0,0,0,0,0
1488503,1,1,0,1,1,3.7,3,0,0,0,1,1,0,0,0,0,0
1581646,1,1,0,1,0,3.6,1,1,1,0,12,2,0,0,0,0,0
1560977,1,1,0,3,1,2.9,1,0,1,2,12,3,0,1,0,1,0
1511632,1,1,0,1,1,3.4,2,0,0,0,10,1,0,0,0,0,0
1549553,1,1,0,6,1,3.5,1,0,0,2,1,1,0,0,0,0,0
1546094,0,1,0,4,1,3.4,1,0,1,1,1,1,0,0,0,0,0
1596307,1,1,0,3,1,3.5,1,0,0,1,3,2,0,0,0,0,0
1593769,1,1,0,3,1,3.1,1,1,0,0,1,1,0,0,0,0,0
1532435,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,0
1528159,1,1,0,1,1,3.8,1,0,0,0,6,3,0,1,0,1,0
1586948,1,2,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,0
1522902,1,1,0,1,1,3.8,1,0,0,1,1,1,0,0,0,0,1
1544718,1,2,0,1,1,3.8,1,0,0,0,8,2,0,0,0,0,0
1599746,1,1,0,1,1,3.6,1,1,0,0,5,2,0,0,0,0,0
1157314,1,1,0,1,1,3.8,1,0,0,0,8,3,1,0,0,1,0
1603466,1,1,0,1,0,3.9,1,1,0,0,11,3,0,1,0,1,0
1581131,1,1,0,1,1,3.2,1,0,0,0,11,3,0,0,0,0,1
1334303,1,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,0
1591516,1,1,0,1,1,4,1,0,0,0,12,3,0,0,0,0,0
1603113,1,1,0,1,1,3.9,3,0,0,2,10,1,0,0,0,0,0
1603478,1,1,0,5,1,3.3,1,0,1,0,1,1,0,0,0,0,0
1591624,1,1,0,3,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1470383,1,1,0,4,1,3.5,1,0,0,0,9,3,0,0,0,0,1
1529591,1,1,0,1,1,3.6,1,0,0,0,2,3,0,1,0,1,0
1394149,1,1,0,5,1,3.8,3,0,0,0,1,1,0,0,0,0,0
1301466,1,1,0,1,1,3.6,1,0,0,0,1,1,0,0,0,0,1
1228091,1,1,0,1,1,3.8,3,0,0,0,6,3,0,1,0,1,0
1585511,1,1,0,3,0,3.5,1,0,0,2,1,1,0,0,0,0,1
1522248,1,1,0,1,1,3.7,3,0,1,0,5,2,0,0,0,0,0
1223880,1,1,0,3,1,2.8,1,0,0,0,1,1,0,0,0,0,0
1588377,1,1,0,1,1,3.6,1,0,0,0,1,1,0,0,0,0,0
1590064,1,1,0,1,1,3.7,3,0,0,0,5,2,1,0,0,1,0
1481150,0,1,0,1,1,2.8,1,0,0,0,11,2,0,1,0,1,1
1472492,1,1,0,1,1,3.5,1,0,1,0,5,2,0,1,0,1,0
1556629,1,1,0,5,1,3.3,1,0,1,1,1,1,0,0,0,0,1
1574536,1,1,0,1,1,3.6,1,0,1,0,3,2,0,0,0,0,0
1530999,0,1,1,1,1,3.8,1,0,0,0,12,2,0,0,0,0,0
1584789,1,1,0,5,1,3,1,1,0,1,1,1,0,0,0,0,0
1591886,1,1,0,5,1,3.2,3,0,1,0,1,1,0,0,0,0,0
1602459,1,1,0,2,1,3.7,3,0,1,0,5,2,0,0,0,0,0
1450689,1,1,0,2,1,3.7,1,0,0,0,9,3,0,1,0,1,0
1545674,1,1,0,1,1,3.1,1,0,1,0,1,1,0,0,0,0,0
1581642,1,1,0,6,0,3.8,1,0,0,0,12,2,0,0,0,0,1
1582380,1,1,0,1,1,4,1,0,0,0,3,2,0,1,0,1,0
1592791,1,1,0,1,1,3.5,1,1,0,0,12,2,0,0,0,0,1
1547068,1,1,0,1,1,3.4,1,0,0,0,5,2,0,0,0,0,1
1579215,1,1,0,1,1,3.5,1,0,1,2,12,2,0,0,0,0,0
1583839,1,1,0,1,0,4,1,0,0,1,1,1,0,0,0,0,0
1523894,1,2,0,4,1,3.5,1,0,0,0,1,1,0,0,0,0,0
1261339,1,1,0,1,1,3.9,1,0,0,2,12,2,0,0,0,0,1
1582053,1,1,0,1,1,3.1,1,0,0,0,5,2,0,1,0,1,0
1527352,1,1,0,2,1,3.4,1,0,1,0,1,1,0,0,0,0,0
1550548,1,2,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1577511,1,1,0,1,1,3.9,3,0,1,0,10,2,0,0,0,0,0
1603261,1,1,0,1,1,3.5,1,1,1,0,9,3,0,0,0,0,0
1588985,1,1,0,1,1,3.6,1,0,0,0,1,1,0,0,0,0,0
1578611,1,1,0,6,1,3.9,3,0,0,2,1,1,0,0,0,0,0
1582186,1,1,0,1,1,3.8,1,0,1,0,8,3,0,0,0,0,0
1611237,1,1,0,3,1,3.8,1,0,0,0,16,1,0,0,0,0,0
1599765,1,1,0,1,1,3.4,3,0,0,0,12,2,0,0,0,0,0
1578077,1,1,0,1,1,3.7,1,1,0,0,11,2,0,0,0,0,0
1577257,1,1,0,1,1,3.5,1,0,1,0,1,1,0,0,0,0,0
1603467,0,1,0,1,0,3.8,1,0,0,0,1,1,0,0,0,0,0
1575296,1,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,0
1584818,0,1,0,1,1,2.9,1,0,0,2,4,3,0,0,0,0,0
1511917,1,1,0,1,1,3.1,1,0,0,1,1,1,0,0,0,0,0
1155957,1,1,0,1,1,3.4,1,0,0,0,12,2,0,0,0,0,1
1590671,1,1,0,1,1,3.1,3,0,0,0,5,2,0,0,0,0,0
1333930,1,1,0,1,1,3.6,1,1,0,0,12,3,0,0,0,0,0
1589246,1,1,0,1,1,3.3,1,0,0,0,3,2,0,0,0,0,0
1578897,1,1,0,2,1,3.5,1,0,0,0,5,2,0,0,0,0,0
1342341,1,1,0,2,1,3.8,1,0,1,0,5,2,1,0,0,1,0
1479281,1,1,0,4,1,3.5,1,0,0,0,11,2,0,1,0,1,1
1472096,1,1,0,1,1,3.4,3,0,0,1,10,1,0,0,0,0,0
1424047,1,3,0,3,1,3,1,0,0,1,5,2,0,0,0,0,0
1562413,1,1,0,4,1,3.7,1,1,0,1,1,1,0,1,0,1,1
1507586,1,2,0,1,1,3.8,3,0,0,0,12,2,0,0,0,0,0
1545518,1,1,0,3,1,2.9,1,0,1,0,5,2,0,0,0,0,1
1306811,1,1,0,1,1,3.6,1,0,0,0,12,3,0,0,0,0,0
1315967,1,1,0,5,1,3.1,1,1,0,0,1,1,0,0,0,0,0
1587737,0,1,0,6,1,3.9,1,0,0,2,2,2,0,0,0,0,0
1470780,1,1,0,1,1,3.6,1,0,0,1,11,2,0,0,0,0,0
1589388,1,1,0,1,1,3.3,1,0,1,0,1,1,0,0,0,0,1
1393252,1,1,0,1,1,3.5,1,0,0,1,1,1,0,0,0,0,0
1586485,1,1,0,1,1,3.6,1,0,1,0,1,1,0,0,0,0,0
1584803,1,1,0,1,1,4,2,0,0,0,1,1,0,0,0,0,0
1584757,1,1,0,1,1,3.7,3,1,0,0,1,1,0,0,0,0,0
1223253,1,1,0,1,1,3.2,1,0,0,0,15,2,0,0,0,0,0
1589228,1,1,0,1,1,3.5,1,0,0,0,1,1,0,0,0,0,0
1603184,1,1,0,1,1,3.5,1,0,0,2,1,1,0,0,0,0,0
1509468,1,2,1,1,1,3.8,1,1,0,0,8,3,0,0,0,0,0
1551413,1,1,0,3,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1584750,1,2,0,1,0,3.8,1,0,1,0,12,3,0,0,0,0,0
1523507,1,1,0,1,1,3.6,1,0,0,0,12,2,0,0,0,0,0
1422943,1,1,0,1,1,4,1,0,0,0,1,1,0,0,0,0,0
1352893,1,1,0,1,1,3.8,3,0,0,0,10,1,0,0,0,0,0
1311064,1,1,0,4,1,3.7,1,0,0,0,1,1,0,0,0,0,1
1595750,1,1,0,5,1,3.4,1,1,1,0,3,3,0,0,0,0,0
1589223,1,1,0,1,0,3.4,1,0,0,0,12,2,0,0,0,0,1
1533948,1,1,0,5,1,3.6,3,1,0,0,5,2,0,0,0,0,1
1529266,1,1,0,1,1,3.9,3,0,0,0,4,2,0,0,0,0,1
1603378,1,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0,1
1598841,1,2,0,1,1,4,1,1,0,0,9,2,0,1,0,1,0
1475243,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,0
1581985,1,1,0,1,1,3.6,3,0,0,0,8,3,1,0,0,1,0
1582423,1,1,0,1,0,3.1,1,0,0,1,13,1,0,0,0,0,1
1582412,1,1,0,1,1,3.6,1,0,0,1,8,3,0,0,0,0,0
1534341,1,1,0,1,1,3.1,1,0,0,0,12,2,0,0,0,0,1
1537677,0,1,1,1,1,3,1,0,0,0,1,1,0,0,0,0,1
1480420,1,1,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1596627,1,1,0,1,1,3.9,1,0,1,0,5,2,0,0,0,0,0
1582736,1,1,1,1,0,3.8,1,0,0,0,1,1,0,0,0,0,0
1542843,1,1,0,1,1,3.8,1,1,0,0,1,1,0,0,0,0,0
1401078,1,1,0,1,1,3.2,1,0,0,0,12,2,0,0,0,0,0
1408621,1,1,0,1,1,4,1,0,1,0,5,2,0,0,1,1,1
1596769,1,1,0,1,0,3.5,1,0,0,0,8,3,0,0,0,0,0
1338147,1,2,0,1,1,2.9,1,0,1,0,5,2,0,0,0,0,0
1599791,1,1,0,1,1,3.8,1,0,0,0,8,3,0,0,0,0,1
1590056,1,1,0,4,0,4,1,0,0,0,12,2,0,0,0,0,1
1474801,1,1,0,3,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1577767,1,1,0,1,1,3.5,3,0,0,0,10,1,0,0,0,0,0
1446867,1,1,0,1,1,3.9,1,0,0,0,5,2,0,0,0,0,0
1536274,1,1,0,4,1,3.3,1,0,0,0,15,2,0,0,0,0,0
1579561,1,1,0,1,1,3.9,1,0,0,0,12,2,0,0,0,0,0
1594962,0,1,0,1,1,3.5,1,0,1,0,2,2,0,1,0,1,0
1474966,1,1,0,4,1,3.9,1,0,0,0,1,1,0,0,0,0,1
1491950,1,1,0,1,1,3.4,1,0,1,0,10,1,0,0,0,0,0
1328770,1,1,0,1,1,3.7,1,0,0,0,16,1,0,0,0,0,0
1579642,1,1,0,1,0,3.7,3,0,0,0,4,2,0,0,1,1,0
1606741,1,1,0,1,1,3.6,1,1,0,0,1,2,0,0,0,0,1
1603578,1,1,0,1,0,3.5,1,0,0,0,1,1,0,0,0,0,1
1394602,1,1,0,1,1,4,1,0,0,0,9,3,0,1,0,1,0
1577286,1,1,0,1,1,3.9,1,0,0,0,8,3,0,0,1,1,1
1589240,0,1,0,3,1,3.2,1,0,0,2,5,2,1,1,0,1,1
1541719,1,1,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,1
1524980,1,1,0,1,1,3.7,3,0,0,0,10,2,0,0,0,0,0
1596315,1,1,0,4,1,3.2,3,0,1,0,2,2,0,1,0,1,1
1594753,1,2,0,3,1,3,1,0,0,0,1,1,0,0,0,0,0
1579863,1,1,0,1,1,4,1,0,0,0,1,1,0,0,0,0,1
1542303,1,1,0,1,1,3.2,1,1,1,0,12,2,0,0,0,0,0
1383987,0,1,0,7,1,3.9,1,0,1,2,1,1,0,0,0,0,1
1524234,1,1,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1584727,1,1,0,3,1,3.9,1,0,0,1,1,1,0,0,0,0,0
1586507,1,1,0,1,1,3.5,3,0,0,0,9,2,0,0,0,0,1
1580164,1,1,0,3,1,4,1,0,0,1,1,1,0,0,0,0,0
1512895,1,1,0,1,1,3.5,1,0,0,0,8,3,0,1,0,1,1
1525633,1,1,0,1,1,4,1,1,1,0,1,1,0,0,0,0,1
1544164,1,1,0,2,1,3.8,1,1,0,2,12,2,0,0,0,0,0
1179763,1,1,0,1,1,3.7,3,0,0,0,10,1,0,0,0,0,0
1456203,1,1,0,1,1,3.5,1,0,0,0,3,2,0,0,0,0,0
1502006,1,2,0,1,1,3.9,3,0,0,0,1,1,0,0,0,0,0
1436389,1,1,0,1,1,3.8,1,1,0,0,12,2,0,0,0,0,0
1583121,0,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,0
1601302,1,1,0,1,0,3.3,3,0,0,2,10,2,0,0,0,0,0
1475016,1,1,0,1,1,3.9,1,0,0,0,1,1,0,0,0,0,0
1582212,1,1,0,3,1,2.8,1,0,0,0,12,3,0,0,0,0,0
1446298,1,1,0,1,1,3.3,3,0,0,1,10,2,0,0,0,0,1
1403570,1,1,0,5,1,3.3,1,1,0,1,12,3,0,0,0,0,0
1296567,1,1,0,1,1,3.6,1,0,1,0,5,2,0,0,0,0,0
1559516,1,1,0,1,1,3.9,1,0,0,0,8,3,0,0,0,0,0
1590000,1,1,1,1,1,3.8,1,0,1,0,8,3,0,0,0,0,0
1591558,1,1,0,2,1,3.2,3,0,0,0,10,1,0,0,0,0,1
1338246,1,1,0,2,1,3.7,1,0,0,2,9,2,0,1,0,1,0
1578665,1,1,0,1,0,3.5,3,0,0,0,1,1,0,0,0,0,0
1582858,1,1,0,1,0,3.6,1,0,0,0,4,2,0,1,0,1,0
1263660,1,1,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1585055,1,1,1,1,1,3.7,1,0,1,0,12,2,0,0,0,0,1
1339690,0,1,0,3,1,2.9,1,0,1,2,8,2,0,0,0,0,0
1452154,1,1,1,1,1,3.6,1,0,1,2,11,2,0,1,0,1,1
1352411,1,1,0,2,1,3.1,1,0,0,0,5,2,0,0,0,0,0
1578620,1,1,0,3,1,3.1,1,0,0,0,5,2,0,0,0,0,1
1578207,1,3,1,2,0,3.5,1,0,0,0,11,3,0,1,0,1,1
1523460,0,2,1,1,1,3.2,1,0,1,0,1,1,0,1,0,1,0
1596599,1,1,0,4,1,3.7,3,0,0,1,10,2,0,0,0,0,0
1449726,1,1,0,3,1,3.6,1,1,1,1,12,2,0,0,0,0,1
1584838,1,1,0,4,1,3.6,1,0,0,0,12,2,0,0,0,0,0
1351096,1,1,0,3,1,3.6,1,0,0,0,12,2,0,0,0,0,0
1586519,1,1,0,1,1,3.7,1,0,0,0,12,2,0,0,0,0,0
1478082,1,1,0,1,1,4,3,1,0,0,7,1,0,0,0,0,1
1525495,1,2,1,1,1,4,2,0,0,0,10,3,0,0,0,0,1
1550264,1,1,0,1,1,3.6,1,0,0,0,1,1,0,0,0,0,0
1590011,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,1
1126729,1,1,0,1,1,3.7,1,0,1,0,15,2,0,0,0,0,1
1530883,1,1,0,1,1,3.8,1,1,0,0,2,2,0,1,0,1,1
1601541,1,1,0,1,1,3.9,3,1,1,0,1,2,0,0,0,0,0
1589342,1,1,0,1,1,3.7,1,0,0,0,5,2,0,0,0,0,0
1513607,1,1,0,1,1,3.8,1,0,0,1,5,2,0,0,0,0,1
1590705,1,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,1
1263763,1,1,0,1,1,3.7,1,0,1,0,12,2,0,0,0,0,1
